tab_name,tab_desc,var,var_desc,module,series,is_comment,is_weight
dr1tot_e,Total Nutrients -- First Day,DRD370QQ,# of times swordfish eaten past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370R,Trout eaten during past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370RQ,# of times trout eaten in past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370S,Walleye eaten during past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370SQ,# of times walleye eaten in past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370T,Other fish eaten during past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370TQ,# of times other fish eaten past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370U,Other unknown fish eaten in past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370UQ,# of times other unknown fish eaten,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370V,Refused on fish eaten past 30 days,Dietary,2007-2008,0,0
